epoch,train_acc,train_loss,test_acc,test_loss
0,0.0807,0.874658,0.4561,0.067998
1,0.1571,0.726293,0.5241,0.223984
2,0.0312,0.141245,0.2402,0.915934
3,0.1324,0.385494,0.2549,0.401833
4,0.1196,0.604710,0.8216,0.599165
5,0.8546,0.906824,0.8674,0.061034
6,0.8149,0.597493,0.3543,0.117920
7,0.4390,0.415374,0.8461,0.537411
8,0.7983,0.523345,0.2716,0.163781
9,0.0986,0.679103,0.0980,0.061167
10,0.7832,0.381750,0.7341,0.267579
11,0.6407,0.045817,0.6828,0.940116
12,0.6826,0.917726,0.2693,0.126862
13,0.5197,0.290768,0.9287,0.806991
14,0.7166,0.660644,0.9403,0.387192
15,0.6199,0.676502,0.2624,0.955552
16,0.7948,0.696791,0.1557,0.903207
17,0.5946,0.477387,0.9149,0.775646
18,0.6551,0.549596,0.0259,0.689222
19,0.7145,0.645329,0.6166,0.179570
20,0.7671,0.251159,0.5642,0.577944
21,0.8866,0.397501,0.7485,0.785198
22,0.7753,0.611868,0.5595,0.348951
23,0.8489,0.091556,0.0944,0.197318
24,0.9117,0.668016,0.9842,0.866588
25,0.0776,0.838979,0.6484,0.141178
26,0.5480,0.946806,0.5464,0.463600
27,0.1792,0.590914,0.7617,0.642415
28,0.8507,0.273643,0.2845,0.041707
29,0.0568,0.078158,0.7155,0.401140
